id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
73404	Maurren Higa Maggi	F	1976	173	61	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Long Jump	Gold
73758	Tomasz Majewski	M	1982	204	142	Poland	POL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Shot Put	Gold
73842	Satu Mkel-Nummela	F	1971	169	63	Finland	FIN	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Trap	Gold
73862	Vadim Gennadyevich Makhnyov	M	1980	196	100	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Fours, 1,000 metres	Gold
74474	Nazyr Yunuzovich Mankiyev	M	1985	155	55	Russia	RUS	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Featherweight, Greco-Roman	Gold
74521	Paul Christian Manning	M	1975	189	76	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Team Pursuit, 4,000 metres	Gold
74992	Marianne "Mari" Steinbrecher	F	1984	188	70	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Gold
75508	Michal Martikn	M	1979	170	73	Slovakia	SVK	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, Slalom	Gold
76079	Javier Alejandro Mascherano	M	1984	171	66	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold
76947	Misty Erie May-Treanor	F	1977	175	72	United States-1	USA	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Women's Beach Volleyball	Gold
77190	Franoise Mbango Etone	F	1976	172	63	Cameroon	CMR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Triple Jump	Gold
78279	Niklas Meinert	M	1981	181	80	Germany	GER	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Gold
78491	Oussama Mellouli	M	1984	192	84	Tunisia	TUN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 1,500 metres Freestyle	Gold
78706	Meng Guanliang	M	1977	185	90	China	CHN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Doubles, 500 metres	Gold
78744	Oksana Vladimirovna Menkova	F	1982	186	85	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Hammer Throw	Gold
78964	LaShawn Merritt	M	1986	191	86	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 400 metres	Gold
78964	LaShawn Merritt	M	1986	191	86	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 400 metres Relay	Gold
79053	Lionel Andrs Messi Cuccittini	M	1987	169	67	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold
79458	Anna Mickelson-Cummins	F	1980	183	75	United States	USA	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Coxed Eights	Gold
79856	Ryan Madsen Millar	M	1978	204	98	United States	USA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	Gold
80053	DeLisha Lachell Milton-Jones	F	1975	185	84	United States	USA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Gold
80136	Revaz Mindorashvili	M	1976	175	84	Georgia	GEO	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Freestyle	Gold
80138	Yukiyo Mine	F	1988	166	63	Japan	JPN	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Gold
80165	Andrea Minguzzi	M	1982	179	84	Italy	ITA	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Greco-Roman	Gold
80340	Masumi Mishina	F	1982	163	63	Japan	JPN	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Gold
80388	Matthew John "Matt" Mitcham	M	1988	174	67	Australia	AUS	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Platform	Gold
80522	Heather Blaine Mitts (-Feeley)	F	1978	165	55	United States	USA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Gold
